batch:5  lamda:100.0
epoch,dis_loss,gan_mae,gan_entropy,test_dis_loss,validation_mae,validation_entropy
0,0.887905,0.168406,0.554216,0.7444285154342651,27.8147,0.418618
1,0.690932,0.12356,0.355847,0.7151429653167725,0.173939,0.50482
2,0.498261,0.0987844,0.320641,0.8175245523452759,0.148983,1.32715
3,0.355117,0.0837012,0.200619,1.239689826965332,0.123185,2.38228
4,0.276793,0.0794523,0.180155,1.1425906419754028,0.108515,2.16257
5,0.31252,0.0773113,0.185967,1.0763423442840576,0.0949232,2.00731
6,0.664726,0.0767816,0.268514,0.8434633016586304,0.0881804,1.39471
7,0.881636,0.0790078,0.374023,0.6987579464912415,0.0788091,0.748033
8,0.794315,0.0782327,0.298533,0.7348673939704895,0.0807037,0.615694
9,0.639373,0.0752658,0.244874,0.709053635597229,0.0746275,0.704768
10,0.5955,0.0748935,0.238852,0.663411021232605,0.0775731,0.729893
11,0.686147,0.0761507,0.289748,0.8157732486724854,0.0764538,0.738077
12,1.15891,0.0758384,0.455187,0.9507186412811279,0.0816622,0.472213
13,1.36526,0.0705635,0.739587,0.7877578735351562,0.0724119,0.542944
14,1.24068,0.0721597,0.713727,0.7921273112297058,0.0741469,0.584941
15,1.32378,0.0712874,0.776274,0.7310216426849365,0.0708457,0.598476
16,1.21544,0.0689242,0.718575,0.7752741575241089,0.0655763,0.555643
17,1.28406,0.0694238,0.700411,0.7537710070610046,0.0639006,0.645357
18,1.29364,0.0698415,0.641856,0.754073441028595,0.0654775,0.65758
19,1.27284,0.0697199,0.601084,0.8066691756248474,0.0626909,0.730408
20,1.28178,0.069588,0.578891,0.7401213645935059,0.0656895,0.960083
21,1.30066,0.0688847,0.648969,0.7428774237632751,0.0637081,0.674222
22,1.31635,0.0689019,0.637645,0.7796122431755066,0.0631086,0.554739
23,1.31487,0.0681157,0.644942,0.7615742683410645,0.0623719,0.717395
24,1.33403,0.0690347,0.628966,0.7982728481292725,0.0607985,0.611419
25,1.2985,0.0680376,0.635875,0.8284586071968079,0.0632551,0.673114
26,1.39625,0.0686511,0.65728,0.7648032307624817,0.0659773,0.708796
27,1.29648,0.0673728,0.664487,0.7971644401550293,0.0611914,0.775456
28,1.32724,0.069365,0.662017,0.7973938584327698,0.0721703,0.587497
29,1.36897,0.0661599,0.766479,0.7482955455780029,0.0609017,0.798136
30,1.36283,0.0664876,0.709751,0.7618026733398438,0.0602829,0.654
31,1.33881,0.0674558,0.704626,0.7457525730133057,0.0614918,0.738122
32,1.34442,0.066247,0.735536,0.7597320079803467,0.0624328,0.583945
33,1.34791,0.0660917,0.714394,0.7594864964485168,0.0608926,0.699397
34,1.31162,0.0665514,0.665735,0.714745819568634,0.0606425,0.709645
35,1.34261,0.0662557,0.696997,0.729968249797821,0.0602812,0.70524
36,1.30877,0.0658395,0.731287,0.7402529716491699,0.0616214,0.674548
37,1.35305,0.065953,0.723478,0.7341057658195496,0.0626776,0.661169
38,1.31015,0.0659659,0.72041,0.7106399536132812,0.0595037,0.850968
39,1.32738,0.0662861,0.719053,0.7564666271209717,0.0610304,0.675832
40,1.34676,0.0652278,0.749893,0.7230846881866455,0.0613853,0.663295
41,1.31828,0.0645477,0.750976,0.720088541507721,0.0595836,0.726904
42,1.31784,0.0647723,0.761372,0.7017945051193237,0.0609569,0.692428
